"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset_name","diameter","n_faces","n_steps","n_times","n_vertices","noise_factor","subdivisions","diff_dist","diff_dist_per_vertex","diff_duration","diff_duration_per_vertex","diff_seq_duration","diff_seq_duration_per_time_and_vertex","diff_seq_per_time_and_vertex","diff_seq_per_time_vertex_diameter","geodesic_dist","geodesic_dist_per_vertex","geodesic_duration","geodesic_regression_duration","geodesic_regression_duration_per_vertex","line_duration","linear_dist","linear_dist_per_vertex","linear_regression_duration","linear_regression_duration_per_vertex","relative_diff_dist","relative_diff_duration","relative_diff_seq_duration","relative_diff_seq_per_time_and_vertex","run_name"
"run_0xevaz45","finished","-","ninamiolane","","2023-07-04T06:23:33.000Z","88","","synthetic","180","80","5","5","42","0.5","1","-468977.48489903274","-11166.130592834112","-16.630828380584717","-0.39597210429963614","-57.59487318992615","-0.2742613009044102","6.245924451071007","0.03469958028372781","469939.2676644405","11189.030182486678","57.59508681297302","16.630937814712524","0.3959747098741077","0.000213623046875","961.7827654077686","22.89958965256592","0.0001094341278076172","0.000002605574471609933","-487.6126936005134","-151971.1328976035","-269609.8292410714","-1283.8563297193878","run_0xevaz45"
"run_kn6p1dg7","finished","-","ninamiolane","","2023-07-04T05:40:01.000Z","2610","","synthetic","162000","1280","3","10","642","0.5","3","-402632262269503.75","-627153056494.5541","-827.496148109436","-1.2889348101393086","-1759.603485107422","-0.27408153973635857","1029.8124039491977","0.006356866691044428","402632265812275.06","627153062012.8895","1759.603935956955","827.4963581562042","1.2889351373149598","0.0004508495330810547","3542771.31817946","5518.335386572368","0.00021004676818847656","3.271756513839199e-7","-113648956.17265137","-3939580.481271283","-3902861.9439450023","-607.922421175234","run_kn6p1dg7"
"run_w094r7lv","finished","-","ninamiolane","","2023-07-04T04:58:48.000Z","2471","","synthetic","162000","1280","3","5","642","0.5","3","-359767510246809.8","-560385529979.4546","-906.930564403534","-1.4126644305350995","-1541.8620262145996","-0.48033084928803726","1592.9918670216218","0.009833283129763098","359767513996310.6","560385535819.7985","1541.8622965812683","906.9307081699372","1.412664654470307","0.0002703666687011719","3749500.8157260185","5840.343949729001","0.0001437664031982422","2.239352074738975e-7","-95950775.29731056","-6308362.344941957","-5702855.435626103","-1776.590478388194","run_w094r7lv"
"run_9awae5xh","finished","-","ninamiolane","","2023-07-04T04:50:20.000Z","506","","synthetic","5400","320","3","10","162","0.5","2","-13363357396.04268","-82489860.46939926","-95.06696009635924","-0.5868330870145633","-397.571724653244","-0.2454146448476815","67.62182881946794","0.012522560892494062","13363416098.563688","82490222.83064005","397.5720493793487","95.06708598136902","0.5868338640825248","0.0003247261047363281","58702.52100905915","362.36124079666143","0.000125885009765625","7.770679615162037e-7","-227645.37478689212","-755188.884469697","-1224329.423641703","-755.7589034825329","run_9awae5xh"
"run_o4fd12z8","finished","-","ninamiolane","","2023-07-04T04:42:39.000Z","459","","synthetic","5400","320","3","5","162","0.5","2","-11391970050.27241","-70320802.77945931","-108.25721192359924","-0.6682543945901188","-337.6642415523529","-0.4168694340152505","106.76888509915482","0.019772015759102743","11392033464.933672","70321194.22798564","337.6645121574402","108.25735306739809","0.6682552658481362","0.00027060508728027344","63414.661263035254","391.4485263150325","0.000141143798828125","8.712580174575617e-7","-179642.52782207716","-766999.4206081082","-1247811.875770925","-1540.5084886060804","run_o4fd12z8"
"run_34sbooxu","finished","-","ninamiolane","","2023-07-04T04:40:57.000Z","100","","synthetic","180","80","3","10","42","0.5","1","-531763.020620241","-12661.024300481928","-17.448922157287598","-0.4154505275544666","-70.22961091995239","-0.16721335933322","4.573720795162411","0.025409559973124503","532792.4120398015","12685.533619995273","70.22993111610413","17.449020624160767","0.4154528720038278","0.00032019615173339844","1029.391419560514","24.50931951334557","0.00009846687316894533","0.0000023444493611653647","-516.5800010721584","-177206.01452784502","-219333.08860759492","-522.2216395418927","run_34sbooxu"
"run_ig2q9ip3","finished","-","ninamiolane","","2023-07-04T04:37:44.000Z","192","","synthetic","180","80","3","5","42","0.5","1","-414929.8466666867","-9879.28206349254","-39.533788204193115","-0.9412806715284076","-140.28636860847473","-0.6680303267070226","5.917502848251108","0.032875015823617265","415841.0538942163","9900.977473671815","140.2865855693817","39.53388500213623","0.9412829762413388","0.00021696090698242188","911.207227529595","21.69541017927607","0.00009679794311523438","0.000002304712931315104","-455.36276944555976","-408415.5812807882","-646597.4472527473","-3079.03546310832","run_ig2q9ip3"
"run_w1qk1o07","finished","-","ninamiolane","","2023-07-04T03:40:22.000Z","3440","","synthetic","162000","1280","8","10","642","0.1","3","-19196298327374.777","-29900776210.86414","-484.6269612312317","-0.7548706561234139","-2933.2568991184235","-0.4568935979935239","212.1837633786938","0.001309776317152431","19196299057344.047","29900777347.887924","2933.2573668956757","484.6271405220032","0.7548709353925283","0.0004677772521972656","729969.2703367331","1137.0237855712353","0.000179290771484375","2.792691144616433e-7","-26297406.07918957","-2703022.3430851065","-6270627.49490316","-976.7332546578132","run_w1qk1o07"
"run_3gyyl89k","finished","-","ninamiolane","","2023-07-04T02:53:22.000Z","2818","","synthetic","162000","1280","8","5","642","0.1","3","-19726131718525.867","-30726061866.86272","-585.4304203987122","-0.9118853900291468","-2210.19739484787","-0.688535013971299","301.71369077659114","0.0018624301899789577","19726132428696.63","30726062973.04771","2210.1976795196533","585.4305765628815","0.9118856332755164","0.0002846717834472656","710170.7603628574","1106.1849849888745","0.00015616416931152344","2.432463696441175e-7","-27776603.62762179","-3748813.975572519","-7764019.91122278","-2418.697791658187","run_3gyyl89k"
"run_4k9q6njg","finished","-","ninamiolane","","2023-07-04T02:41:38.000Z","702","","synthetic","5400","320","8","10","162","0.1","2","-998700557.326653","-6164818.2551027965","-196.8760063648224","-1.215283989906311","-487.2561800479889","-0.3007754197827092","14.058158001675134","0.0026033625929028025","998712762.0430592","6164893.59285839","487.2573478221894","196.87645530700684","1.2152867611543632","0.0011677742004394531","12204.716406091571","75.33775559315785","0.0004489421844482422","0.0000027712480521496433","-81829.06706690745","-438533.0966542751","-417252.0508370764","-257.5629943438743","run_4k9q6njg"
"run_lva41arb","finished","-","ninamiolane","","2023-07-04T02:32:57.000Z","519","","synthetic","5400","320","8","5","162","0.1","2","-841548568.6710227","-5194744.251055695","-117.86981058120728","-0.7275914233407856","-388.5052709579468","-0.4796361369851195","19.5147608746938","0.0036138446064247778","841560162.6419855","5194815.818777689","388.5055158138275","117.86994457244872","0.7275922504472144","0.0002448558807373047","11593.97096286449","71.56772199299068","0.00013399124145507812","8.271064287350501e-7","-72585.01607141369","-879682.950177936","-1586669.1450827653","-1958.8507963984755","run_lva41arb"
"run_zr9n9ijw","finished","-","ninamiolane","","2023-07-04T02:30:05.000Z","170","","synthetic","180","80","8","10","42","0.1","1","-47804.34541935084","-1138.1987004607342","-22.504255771636963","-0.5358156136104039","-134.11011028289795","-0.31930978638785223","0.8708687894400283","0.004838159941333491","48007.33146388897","1143.031701521166","134.11043405532837","22.504363298416138","0.5358181737718128","0.0003237724304199219","202.98604453813576","4.833001060431804","0.00010752677917480467","0.000002560161408923921","-235.50557639626135","-209289.77827050997","-414211.0250368189","-986.2167262781402","run_zr9n9ijw"
"run_67lq0twh","finished","-","ninamiolane","","2023-07-04T02:27:42.000Z","141","","synthetic","180","80","8","5","42","0.1","1","-43623.504539944435","-1038.654869998677","-32.095294713974","-0.7641736836660475","-96.1312096118927","-0.45776766481853665","1.2722372379404765","0.007067984655224869","43823.52509237784","1043.4172641042344","96.13141870498656","32.09540295600891","0.764176260857355","0.0002090930938720703","200.02055243340888","4.762394105557354","0.00010824203491210938","0.000002577191307431176","-218.0951107735173","-296514.1475770925","-459753.1550741163","-2189.300738448173","run_67lq0twh"
"run_qy2xyjat","finished","-","ninamiolane","","2023-07-04T01:43:42.000Z","2638","","synthetic","162000","1280","5","10","642","0.1","3","-20032115598815.55","-31202672272.298367","-671.4604856967926","-1.0458886070043498","-1943.9204819202423","-0.30279135232402526","209.47031291764975","0.0012930266229484553","20032116319455.055","31202673394.789806","1943.9209871292112","671.46071434021","1.0458889631467445","0.0005052089691162109","720639.5037398484","1122.491438847116","0.00022864341735839844","3.561423946392499e-7","-27797692.87536472","-2936714.7038581856","-3847755.286927796","-599.3388297395321","run_qy2xyjat"
"run_wrxmzs0g","finished","-","ninamiolane","","2023-07-04T01:07:47.000Z","2154","","synthetic","162000","1280","5","5","642","0.1","3","-20427236142791.77","-31818124833.008987","-605.6965978145599","-0.9434526445709656","-1524.7730178833008","-0.475007170680156","307.58550835299775","0.0018986759774876404","20427236866785.03","31818125960.724342","1524.7733731269836","605.6967990398407","0.9434529580059824","0.0003552436828613281","723993.2612452393","1127.7153601950768","0.00020122528076171875","3.1343501676280177e-7","-28214677.17483688","-3010042.2547393367","-4292188.971812081","-1337.1305208137323","run_wrxmzs0g"
"run_tbd4yanj","finished","-","ninamiolane","","2023-07-04T00:57:12.000Z","634","","synthetic","5400","320","5","10","162","0.1","2","-1166333365.4742706","-7199588.675767102","-79.15125226974487","-0.4885879769737338","-542.4504871368408","-0.3348459797140993","14.144098842319494","0.002619277563392499","1166345661.9096382","7199664.579689125","542.4508299827576","79.15139365196228","0.4885888497034709","0.0003428459167480469","12296.435367615351","75.90392202231699","0.00014138221740722656","8.727297370816454e-7","-94851.339482172","-559838.8094435076","-1582199.0598052852","-976.6660862995589","run_tbd4yanj"
"run_kadtuyji","finished","-","ninamiolane","","2023-07-04T00:47:04.000Z","606","","synthetic","5400","320","5","5","162","0.1","2","-995438668.3935804","-6144683.138231977","-184.109970331192","-1.1364812983406916","-409.44791293144226","-0.5054912505326448","20.28017981179291","0.003755588854035724","995450722.715555","6144757.547626883","409.44824743270874","184.11013197898865","1.1364822961665966","0.0003345012664794922","12054.321974681206","74.40939490543954","0.00016164779663085938","9.978259051287616e-7","-82579.39936268429","-1138957.5","-1224054.8959372772","-1511.1788838731818","run_kadtuyji"
"run_ux566twk","finished","-","ninamiolane","","2023-07-04T00:44:01.000Z","182","","synthetic","180","80","5","10","42","0.1","1","-35633.02696061533","-848.4054038241745","-64.71140503883362","-1.540747739019848","-104.5293354988098","-0.2488793702352615","0.905223920028491","0.005029021777936061","35841.273243321746","853.3636486505178","104.52976536750792","64.71152925491333","1.5407506965455555","0.0004298686981201172","208.24628270641617","4.9582448263432415","0.00012421607971191406","0.000002957525707426526","-171.1100265393475","-520958.358925144","-243165.7293399889","-578.9660222380688","run_ux566twk"
"run_y409w0rc","finished","-","ninamiolane","","2023-07-04T00:42:00.000Z","119","","synthetic","180","80","5","5","42","0.1","1","-39980.5786678577","-951.9185397108976","-39.21161651611328","-0.9336099170503164","-68.5933632850647","-0.32663506326221287","1.1498373325866185","0.0063879851810367694","40162.59267144546","956.2522064629871","68.59359073638916","39.211732149124146","0.9336126702172416","0.00022745132446289065","182.01400358776252","4.3336667520895835","0.0001156330108642578","0.0000027531669253394717","-219.65660817179972","-339104","-301573.8134171908","-1436.065778177099","run_y409w0rc"
"run_ag3tj7ke","finished","-","ninamiolane","","2023-07-04T00:10:33.000Z","1885","","synthetic","162000","1280","3","10","642","0.1","3","-20274200249890.645","-31579751168.053963","-783.067061662674","-1.2197306256427942","-1080.3137602806091","-0.16827317138327244","206.07178488938544","0.0012720480548727496","20274200958833.336","31579752272.32607","1080.3143939971924","783.0673973560333","1.219731148529647","0.0006337165832519531","708942.689991493","1104.2721027904877","0.000335693359375","5.228868526090342e-7","-28597798.57541648","-2332685.588778409","-1704726.984951091","-265.5337982789861","run_ag3tj7ke"
"run_r40vkftp","finished","-","ninamiolane","","2023-07-03T23:42:32.000Z","1679","","synthetic","162000","1280","3","5","642","0.1","3","-19974511180866.953","-31112945764.59027","-741.5084297657013","-1.1549975541521826","-912.523904800415","-0.2842753597509081","298.13750946031683","0.0018403549966686224","19974511882620.617","31112946857.664513","912.5242393016816","741.508645772934","1.1549978906120466","0.0003345012664794922","701753.6645239125","1093.0742438067173","0.0002160072326660156","3.364598639657565e-7","-28463707.694947585","-3432794.4514348786","-2728013.3029223094","-849.8483809726821","run_r40vkftp"
"run_4f3j1raz","finished","-","ninamiolane","","2023-07-03T23:36:02.000Z","388","","synthetic","5400","320","3","10","162","0.1","2","-1065831685.8032348","-6579207.937057006","-151.10468816757202","-0.932744988688716","-224.007910490036","-0.13827648795681236","13.820000071022967","0.0025592592724116604","1065843683.0603732","6579281.994199834","224.00823879241943","151.1048185825348","0.9327457937193504","0.00032830238342285156","11997.257138149123","74.05714282808101","0.0001304149627685547","8.050306343737943e-7","-88839.61338246903","-1158645.3345521025","-682321.913580247","-421.18636640755983","run_4f3j1raz"
"run_hzszc4ci","finished","-","ninamiolane","","2023-07-03T23:30:05.000Z","355","","synthetic","5400","320","3","5","162","0.1","2","-926034181.4979773","-5716260.3796171425","-119.65620517730711","-0.7386185504772045","-222.34486985206604","-0.27449983932353833","19.591591945801262","0.003628072582555789","926045818.0424708","5716332.210138708","222.34512758255005","119.6563491821289","0.7386194393958574","0.00025773048400878906","11636.544493607826","71.83052156548041","0.00014400482177734375","8.889186529465664e-7","-79579.82560945522","-830918.0463576159","-862703.0314523589","-1065.0654709288383","run_hzszc4ci"
"run_bfymqglv","finished","-","ninamiolane","","2023-07-03T23:28:34.000Z","89","","synthetic","180","80","3","10","42","0.1","1","-54744.288892470686","-1303.4354498207306","-21.85999751091003","-0.5204761312121436","-55.762776136398315","-0.13276851461047218","0.8976340032048767","0.004986855573360426","54953.38566946805","1308.413944511144","55.763120889663696","21.860143184661865","0.5204795996348063","0.0003447532653808594","209.09677699736656","4.9784946904134895","0.0001456737518310547","0.000003468422662644159","-261.81316459583763","-150061.33387888706","-161746.9121715076","-385.11169564644666","run_bfymqglv"
"run_v4imwxon","finished","-","ninamiolane","","2023-07-03T23:26:16.000Z","136","","synthetic","180","80","3","5","42","0.1","1","-40015.8555310654","-952.7584650253666","-67.04659461975098","-1.596347490946452","-56.113725900650024","-0.2672082185745239","1.2882106875993709","0.007156726042218727","40217.896702947335","957.5689691177936","56.113951206207275","67.04668021202087","1.59634952885764","0.00022530555725097656","202.04117188193928","4.810504092427125","0.00008559226989746094","0.000002037911188034784","-198.05792630448735","-783325.3481894151","-249056.11111111112","-1185.9814814814815","run_v4imwxon"
"run_pkicwtek","finished","-","ninamiolane","","2023-07-03T22:28:54.000Z","3440","","synthetic","162000","1280","8","10","642","0.01","3","-752925231079.0386","-1172780733.767973","-636.6414291858673","-0.99165331648889","-2781.361203432083","-0.4332338323102934","20.808898525273307","0.0001284499908967488","752925304566.0907","1172780848.233786","2781.3616297245026","636.6415920257568","0.9916535701335776","0.00042629241943359375","73487.05211485855","114.46581326301956","0.0001628398895263672","2.536446877357744e-7","-10245685.59237121","-3909615.9487554906","-6524538.266778523","-1016.2832191243806","run_pkicwtek"
"run_ukljzgmw","finished","-","ninamiolane","","2023-07-03T21:58:55.000Z","1797","","synthetic","162000","1280","8","5","642","0.01","3","-715232834698.7415","-1114069835.979348","-491.25579857826233","-0.7651959479412186","-1282.551608324051","-0.39954878763989127","29.095147950044797","0.00017959967870398024","715232904449.728","1114069944.6257446","1282.5519804954529","491.2559776306152","0.7651962268389645","0.00037217140197753906","69750.9865484321","108.6463964928849","0.00017905235290527344","2.788977459583699e-7","-10254089.154740691","-2743643.3568575233","-3446131.544522742","-1073.561228823284","run_ukljzgmw"
"run_li9qg1cp","finished","-","ninamiolane","","2023-07-03T21:47:28.000Z","685","","synthetic","5400","320","8","10","162","0.01","2","-52037005.84004607","-321216.0854323832","-111.40573263168336","-0.6876897076029836","-562.1258275508881","-0.34699125157462224","1.370036617410029","0.00025371048470556093","52038226.32351743","321223.61928097176","562.1261606216431","111.40584969520567","0.687690430217319","0.0003330707550048828","1220.4834713587052","7.533848588633982","0.0001170635223388672","7.226143354251061e-7","-42636.38718688733","-951669.0631364562","-1687706.9484609878","-1041.794412630239","run_li9qg1cp"
